2023-12-23 19:05:17.4876–TRACE–2023/12/23 19:05:17:4797| 0|  COM5| S |11
2023-12-23 19:05:17.7280–TRACE–2023/12/23 19:05:17:7267| 0|  COM5| S |11
2023-12-23 19:05:17.9113–TRACE–2023/12/23 19:05:17:9102| 0|  COM5| S |11
2023-12-23 19:15:28.4060–TRACE–2023/12/23 19:15:28:3984| 0| COM10| S |1233
2023-12-23 19:15:28.4060–TRACE–2023/12/23 19:15:28:4104| 0| COM10| Rs |1233
2023-12-23 19:15:29.1844–TRACE–2023/12/23 19:15:29:1831| 0| COM10| S |1233
2023-12-23 19:15:29.1844–TRACE–2023/12/23 19:15:29:1855| 0| COM10| Rs |1233
2023-12-23 19:15:34.3619–TRACE–2023/12/23 19:15:34:3607|0|COM10| S |1233
2023-12-23 19:15:34.3619–TRACE–2023/12/23 19:15:34:3663| 0| COM10| Rs |31323333
2023-12-23 19:15:35.2315–TRACE–2023/12/23 19:15:35:2304|0|COM10| S |1233
2023-12-23 19:15:35.2315–TRACE–2023/12/23 19:15:35:2327| 0| COM10| Rs |31323333
2023-12-23 19:15:35.7178–TRACE–2023/12/23 19:15:35:7166|0|COM10| S |1233
2023-12-23 19:15:35.7178–TRACE–2023/12/23 19:15:35:7190| 0| COM10| Rs |31323333
2023-12-23 19:15:35.8962–TRACE–2023/12/23 19:15:35:8949|0|COM10| S |1233
2023-12-23 19:15:35.8962–TRACE–2023/12/23 19:15:35:8973| 0| COM10| Rs |31323333
2023-12-23 19:15:36.0679–TRACE–2023/12/23 19:15:36:0666|0|COM10| S |1233
2023-12-23 19:15:36.0679–TRACE–2023/12/23 19:15:36:0690| 0| COM10| Rs |31323333
2023-12-23 19:15:36.2256–TRACE–2023/12/23 19:15:36:2244|0|COM10| S |1233
2023-12-23 19:15:36.2256–TRACE–2023/12/23 19:15:36:2268| 0| COM10| Rs |31323333
2023-12-23 19:15:36.3824–TRACE–2023/12/23 19:15:36:3812|0|COM10| S |1233
2023-12-23 19:15:36.3824–TRACE–2023/12/23 19:15:36:3834| 0| COM10| Rs |31323333
2023-12-23 19:15:37.4820–TRACE–2023/12/23 19:15:37:4807| 0| COM10| S |1233
2023-12-23 19:15:37.4820–TRACE–2023/12/23 19:15:37:4829| 0| COM10| Rs |1233
2023-12-23 19:15:37.6637–TRACE–2023/12/23 19:15:37:6625| 0| COM10| S |1233
2023-12-23 19:15:37.6646–TRACE–2023/12/23 19:15:37:6646| 0| COM10| Rs |1233
2023-12-23 19:15:37.8442–TRACE–2023/12/23 19:15:37:8430| 0| COM10| S |1233
2023-12-23 19:15:37.8442–TRACE–2023/12/23 19:15:37:8453| 0| COM10| Rs |1233
2023-12-23 19:15:38.0423–TRACE–2023/12/23 19:15:38:0409| 0| COM10| S |1233
2023-12-23 19:15:38.0423–TRACE–2023/12/23 19:15:38:0433| 0| COM10| Rs |1233
2023-12-23 19:15:38.2043–TRACE–2023/12/23 19:15:38:2030| 0| COM10| S |1233
2023-12-23 19:15:38.2043–TRACE–2023/12/23 19:15:38:2053| 0| COM10| Rs |1233
2023-12-23 19:15:38.3644–TRACE–2023/12/23 19:15:38:3630| 0| COM10| S |1233
2023-12-23 19:15:38.3644–TRACE–2023/12/23 19:15:38:3653| 0| COM10| Rs |1233
2023-12-23 19:15:38.5581–TRACE–2023/12/23 19:15:38:5567| 0| COM10| S |1233
2023-12-23 19:15:38.5581–TRACE–2023/12/23 19:15:38:5590| 0| COM10| Rs |1233
2023-12-23 19:15:48.3431–TRACE–2023/12/23 19:15:48:3418| 0| COM10| S |1233
2023-12-23 19:15:48.3431–TRACE–2023/12/23 19:15:48:3441| 0| COM10| Rs |1233
2023-12-23 19:15:48.5294–TRACE–2023/12/23 19:15:48:5281| 0| COM10| S |1233
2023-12-23 19:15:48.5294–TRACE–2023/12/23 19:15:48:5304| 0| COM10| Rs |1233
2023-12-23 19:15:48.7064–TRACE–2023/12/23 19:15:48:7051| 0| COM10| S |1233
2023-12-23 19:15:48.7064–TRACE–2023/12/23 19:15:48:7073| 0| COM10| Rs |1233
2023-12-23 19:15:48.8880–TRACE–2023/12/23 19:15:48:8865| 0| COM10| S |1233
2023-12-23 19:15:48.8880–TRACE–2023/12/23 19:15:48:8888| 0| COM10| Rs |1233
2023-12-23 19:15:49.0680–TRACE–2023/12/23 19:15:49:0667| 0| COM10| S |1233
2023-12-23 19:15:49.0680–TRACE–2023/12/23 19:15:49:0690| 0| COM10| Rs |1233
2023-12-23 19:15:49.2201–TRACE–2023/12/23 19:15:49:2188| 0| COM10| S |1233
2023-12-23 19:15:49.2201–TRACE–2023/12/23 19:15:49:2211| 0| COM10| Rs |1233
2023-12-23 19:15:53.7378–TRACE–2023/12/23 19:15:53:7364| 0| COM10| S |123
2023-12-23 19:15:53.7378–TRACE–2023/12/23 19:15:53:7387| 0| COM10| Rs |12
2023-12-23 19:15:53.9246–TRACE–2023/12/23 19:15:53:9232| 0| COM10| S |123
2023-12-23 19:15:53.9246–TRACE–2023/12/23 19:15:53:9254| 0| COM10| Rs |12
2023-12-23 19:15:54.1181–TRACE–2023/12/23 19:15:54:1166| 0| COM10| S |123
2023-12-23 19:15:54.1181–TRACE–2023/12/23 19:15:54:1189| 0| COM10| Rs |12
2023-12-23 19:15:54.3000–TRACE–2023/12/23 19:15:54:2982| 0| COM10| S |123
2023-12-23 19:15:54.3000–TRACE–2023/12/23 19:15:54:3008| 0| COM10| Rs |12
2023-12-23 19:15:54.5095–TRACE–2023/12/23 19:15:54:5075| 0| COM10| S |123
2023-12-23 19:15:54.5095–TRACE–2023/12/23 19:15:54:5100| 0| COM10| Rs |12
2023-12-23 19:15:54.7182–TRACE–2023/12/23 19:15:54:7158| 0| COM10| S |123
2023-12-23 19:15:54.7182–TRACE–2023/12/23 19:15:54:7190| 0| COM10| Rs |12
2023-12-23 19:15:55.3447–TRACE–2023/12/23 19:15:55:3432| 0| COM10| S |123
2023-12-23 19:15:55.3447–TRACE–2023/12/23 19:15:55:3455| 0| COM10| Rs |12
2023-12-23 19:15:55.5364–TRACE–2023/12/23 19:15:55:5348| 0| COM10| S |123
2023-12-23 19:15:55.5364–TRACE–2023/12/23 19:15:55:5372| 0| COM10| Rs |12
2023-12-23 19:15:55.7325–TRACE–2023/12/23 19:15:55:7309| 0| COM10| S |123
2023-12-23 19:15:55.7325–TRACE–2023/12/23 19:15:55:7333| 0| COM10| Rs |12
2023-12-23 19:15:55.9141–TRACE–2023/12/23 19:15:55:9126| 0| COM10| S |123
2023-12-23 19:15:55.9150–TRACE–2023/12/23 19:15:55:9150| 0| COM10| Rs |12
2023-12-23 19:15:56.1103–TRACE–2023/12/23 19:15:56:1088| 0| COM10| S |123
2023-12-23 19:15:56.1103–TRACE–2023/12/23 19:15:56:1112| 0| COM10| Rs |12
2023-12-23 19:15:56.2878–TRACE–2023/12/23 19:15:56:2859| 0| COM10| S |123
2023-12-23 19:15:56.2878–TRACE–2023/12/23 19:15:56:2887| 0| COM10| Rs |12
2023-12-23 19:15:56.4790–TRACE–2023/12/23 19:15:56:4773| 0| COM10| S |123
2023-12-23 19:15:56.4790–TRACE–2023/12/23 19:15:56:4798| 0| COM10| Rs |12
2023-12-23 19:15:56.6644–TRACE–2023/12/23 19:15:56:6628| 0| COM10| S |123
2023-12-23 19:15:56.6652–TRACE–2023/12/23 19:15:56:6652| 0| COM10| Rs |12
2023-12-23 19:15:56.8352–TRACE–2023/12/23 19:15:56:8334| 0| COM10| S |123
2023-12-23 19:15:56.8352–TRACE–2023/12/23 19:15:56:8360| 0| COM10| Rs |12
2023-12-23 19:15:57.0145–TRACE–2023/12/23 19:15:57:0129| 0| COM10| S |123
2023-12-23 19:15:57.0145–TRACE–2023/12/23 19:15:57:0154| 0| COM10| Rs |12
2023-12-23 19:15:57.1746–TRACE–2023/12/23 19:15:57:1730| 0| COM10| S |123
2023-12-23 19:15:57.1746–TRACE–2023/12/23 19:15:57:1754| 0| COM10| Rs |12
2023-12-23 19:15:57.3722–TRACE–2023/12/23 19:15:57:3706| 0| COM10| S |123
2023-12-23 19:15:57.3722–TRACE–2023/12/23 19:15:57:3729| 0| COM10| Rs |12
2023-12-23 19:15:57.5645–TRACE–2023/12/23 19:15:57:5628| 0| COM10| S |123
2023-12-23 19:15:57.5645–TRACE–2023/12/23 19:15:57:5654| 0| COM10| Rs |12
2023-12-23 19:15:57.7322–TRACE–2023/12/23 19:15:57:7305| 0| COM10| S |123
2023-12-23 19:15:57.7322–TRACE–2023/12/23 19:15:57:7330| 0| COM10| Rs |12
2023-12-23 19:15:57.9065–TRACE–2023/12/23 19:15:57:9048| 0| COM10| S |123
2023-12-23 19:15:57.9065–TRACE–2023/12/23 19:15:57:9074| 0| COM10| Rs |12
2023-12-23 19:15:58.0881–TRACE–2023/12/23 19:15:58:0860| 0| COM10| S |123
2023-12-23 19:15:58.0881–TRACE–2023/12/23 19:15:58:0889| 0| COM10| Rs |12
2023-12-23 19:15:58.2549–TRACE–2023/12/23 19:15:58:2532| 0| COM10| S |123
2023-12-23 19:15:58.2549–TRACE–2023/12/23 19:15:58:2556| 0| COM10| Rs |12
2023-12-23 19:16:01.4595–TRACE–2023/12/23 19:16:01:4573| 0| COM10| S |123
2023-12-23 19:16:01.4595–TRACE–2023/12/23 19:16:01:4602| 0| COM10| Rs |12
2023-12-23 19:16:01.6411–TRACE–2023/12/23 19:16:01:6394| 0| COM10| S |123
2023-12-23 19:16:01.6411–TRACE–2023/12/23 19:16:01:6419| 0| COM10| Rs |12
2023-12-23 19:16:01.8107–TRACE–2023/12/23 19:16:01:8089| 0| COM10| S |123
2023-12-23 19:16:01.8107–TRACE–2023/12/23 19:16:01:8115| 0| COM10| Rs |12
2023-12-23 19:16:01.9831–TRACE–2023/12/23 19:16:01:9814| 0| COM10| S |123
2023-12-23 19:16:01.9831–TRACE–2023/12/23 19:16:01:9839| 0| COM10| Rs |12
2023-12-23 19:16:02.1562–TRACE–2023/12/23 19:16:02:1545| 0| COM10| S |123
