2023-11-15 17:27:57.2538–TRACE–– Start Custom script schedule.
2023-11-15 17:27:57.2538–TRACE–- Currently on iteration : 0
2023-11-15 17:27:57.2538–TRACE–– Enter A-0 step.
2023-11-15 17:27:57.2538–TRACE–- Currently on A_1 initial iteration: 
2023-11-15 17:28:02.9050–TRACE–2023/11/15 17:28:02:9050| 0| COM88| R | CommandID     24| FA030444380D0A
2023-11-15 17:28:02.9050–TRACE–2023/11/15 17:28:02:9078| 0| COM88| S | CommandID     25| FA52010501
2023-11-15 17:28:02.9209–TRACE–2023/11/15 17:28:02:9209| 0| COM88| R | CommandID     25| FA0104012C0D0A
2023-11-15 17:28:02.9209–TRACE–2023/11/15 17:28:02:9243| 0| COM88| S | CommandID     26| FA52030501
2023-11-15 17:28:02.9531–TRACE–2023/11/15 17:28:02:9530| 0| COM88| R | CommandID     26| FA030401240D0A
2023-11-15 17:28:02.9531–TRACE–2023/11/15 17:28:02:9570| 0| COM88| S | CommandID     27| FA52020501
2023-11-15 17:28:02.9878–TRACE–2023/11/15 17:28:02:9878| 0| COM88| R | CommandID     27| FA0204012C0D0A
2023-11-15 17:28:05.2727–TRACE–2023/11/15 17:28:05:2727| 0| COM88| S | CommandID     28| FA52010002
2023-11-15 17:28:05.2977–TRACE–2023/11/15 17:28:05:2976| 0| COM88| R | CommandID     28| FA010403040D0A
2023-11-15 17:28:05.2977–TRACE–2023/11/15 17:28:05:3010| 0| COM88| S | CommandID     29| FA52020002
2023-11-15 17:28:05.3274–TRACE–2023/11/15 17:28:05:3274| 0| COM88| R | CommandID     29| FA020403040D0A
2023-11-15 17:28:05.3274–TRACE–2023/11/15 17:28:05:3318| 0| COM88| S | CommandID     30| FA52030002
2023-11-15 17:28:05.3620–TRACE–2023/11/15 17:28:05:3619| 0| COM88| R | CommandID     30| FA030403040D0A
2023-11-15 17:28:05.3786–TRACE–2023/11/15 17:28:05:3786| 0| COM88| S | CommandID     31| FA52010001
2023-11-15 17:28:05.4111–TRACE–2023/11/15 17:28:05:4111| 0| COM88| R | CommandID     31| FA010401020D0A
2023-11-15 17:28:05.4111–TRACE–2023/11/15 17:28:05:4136| 0| COM88| S | CommandID     32| FA52020001
2023-11-15 17:28:05.4379–TRACE–2023/11/15 17:28:05:4378| 0| COM88| R | CommandID     32| FA020401020D0A
2023-11-15 17:28:05.4379–TRACE–2023/11/15 17:28:05:4420| 0| COM88| S | CommandID     33| FA52030001
2023-11-15 17:28:05.4695–TRACE–2023/11/15 17:28:05:4694| 0| COM88| R | CommandID     33| FA030401020D0A
2023-11-15 17:28:05.4695–TRACE–2023/11/15 17:28:05:4728| 0| COM88| S | CommandID     34| FA52010401
2023-11-15 17:28:05.5007–TRACE–2023/11/15 17:28:05:5007| 0| COM88| R | CommandID     34| FA010A0101020304050607080D0A
2023-11-15 17:28:05.5007–TRACE–2023/11/15 17:28:05:5043| 0| COM88| S | CommandID     35| FA52020401
2023-11-15 17:28:05.5360–TRACE–2023/11/15 17:28:05:5360| 0| COM88| R | CommandID     35| FA020A0101020304050607080D0A
2023-11-15 17:28:05.5360–TRACE–2023/11/15 17:28:05:5410| 0| COM88| S | CommandID     36| FA52030401
2023-11-15 17:28:05.5690–TRACE–2023/11/15 17:28:05:5690| 0| COM88| R | CommandID     36| FA030A0101020304050607080D0A
2023-11-15 17:28:05.5690–TRACE–2023/11/15 17:28:05:5728| 0| COM88| S | CommandID     37| FA52010101
2023-11-15 17:28:05.5974–TRACE–2023/11/15 17:28:05:5974| 0| COM88| R | CommandID     37| FA0103640D0A
2023-11-15 17:28:05.5974–TRACE–2023/11/15 17:28:05:6018| 0| COM88| S | CommandID     38| FA52020101
2023-11-15 17:28:05.6301–TRACE–2023/11/15 17:28:05:6301| 0| COM88| R | CommandID     38| FA0203640D0A
