*Time,*Loop,*Phase,*Blockloop,*PowerMode,*Send_CMD,*Receive_CMD
2023/12/27 11:39:02:2306,,,,NULL,FA 57 00 02 01,
2023/12/27 11:39:07:1151,,,,NULL,FA 52 01 04 01,
2023/12/27 11:39:07:4278,,,,NULL,FA 52 02 04 01,
2023/12/27 11:39:07:7400,,,,NULL,FA 52 03 04 01,
2023/12/27 11:39:08:7018,,,,NULL,FA 52 01 06 01,
2023/12/27 11:39:09:0224,,,,NULL,FA 52 02 06 01,
2023/12/27 11:39:09:3356,0,A-1,0,NULL,FA 52 03 06 01,
2023/12/27 11:39:10:4679,,,,NULL,FA 52 01 04 01,
2023/12/27 11:39:10:7885,,,,NULL,FA 52 02 04 01,
2023/12/27 11:39:11:0996,,,,NULL,FA 52 03 04 01,
2023/12/27 11:39:12:1138,,,,NULL,FA 52 01 06 01,
2023/12/27 11:39:12:4350,,,,NULL,FA 52 02 06 01,
2023/12/27 11:39:12:7561,0,A-1,0,NULL,FA 52 03 06 01,
2023/12/27 11:39:13:8472,,,,NULL,FA 52 01 04 01,
2023/12/27 11:39:14:1688,,,,NULL,FA 52 02 04 01,
2023/12/27 11:39:14:4905,,,,NULL,FA 52 03 04 01,
2023/12/27 11:39:15:5077,,,,NULL,FA 52 01 06 01,
2023/12/27 11:39:15:8181,,,,NULL,FA 52 02 06 01,
2023/12/27 11:39:16:1400,0,A-1,0,NULL,FA 52 03 06 01,
2023/12/27 11:39:17:2071,,,,NULL,FA 52 01 04 01,
2023/12/27 11:39:17:5313,,,,NULL,FA 52 02 04 01,
2023/12/27 11:39:17:8635,,,,NULL,FA 52 03 04 01,
2023/12/27 11:39:18:8501,,,,NULL,FA 52 01 06 01,
2023/12/27 11:39:19:1730,,,,NULL,FA 52 02 06 01,
2023/12/27 11:39:19:4851,0,A-1,0,NULL,FA 52 03 06 01,
2023/12/27 11:39:20:5741,,,,NULL,FA 52 01 04 01,
2023/12/27 11:39:20:8941,,,,NULL,FA 52 02 04 01,
2023/12/27 11:39:21:2300,,,,NULL,FA 52 03 04 01,
2023/12/27 11:39:22:3147,,,,NULL,FA 52 01 06 01,
2023/12/27 11:39:22:6389,,,,NULL,FA 52 02 06 01,
2023/12/27 11:39:22:9942,0,A-1,0,NULL,FA 52 03 06 01,
2023/12/27 11:39:23:9626,,,,NULL,FA 52 01 04 01,
2023/12/27 11:39:24:2740,,,,NULL,FA 52 02 04 01,
2023/12/27 11:39:24:5962,,,,NULL,FA 52 03 04 01,
2023/12/27 11:39:25:6744,,,,NULL,FA 52 01 06 01,
2023/12/27 11:39:25:9984,,,,NULL,FA 52 02 06 01,
2023/12/27 11:39:26:3425,0,A-1,0,NULL,FA 52 03 06 01,
2023/12/27 11:39:27:3439,,,,NULL,FA 52 01 04 01,
2023/12/27 11:39:27:6871,,,,NULL,FA 52 02 04 01,
2023/12/27 11:39:28:0092,,,,NULL,FA 52 03 04 01,
2023/12/27 11:39:29:0602,,,,NULL,FA 52 01 06 01,
2023/12/27 11:39:29:3823,,,,NULL,FA 52 02 06 01,
2023/12/27 11:39:29:7064,0,A-1,0,NULL,FA 52 03 06 01,
2023/12/27 11:39:30:6963,,,,NULL,FA 52 01 04 01,
2023/12/27 11:39:31:0289,,,,NULL,FA 52 02 04 01,
2023/12/27 11:39:31:3499,,,,NULL,FA 52 03 04 01,
2023/12/27 11:39:32:5079,,,,NULL,FA 52 01 06 01,
2023/12/27 11:39:32:8300,,,,NULL,FA 52 02 06 01,
2023/12/27 11:39:33:1731,0,A-1,0,NULL,FA 52 03 06 01,
2023/12/27 11:39:34:0877,,,,NULL,FA 52 01 04 01,
2023/12/27 11:39:34:4197,,,,NULL,FA 52 02 04 01,
2023/12/27 11:39:34:7419,,,,NULL,FA 52 03 04 01,
2023/12/27 11:39:35:9707,,,,NULL,FA 52 01 06 01,
2023/12/27 11:39:36:2947,,,,NULL,FA 52 02 06 01,
2023/12/27 11:39:36:6279,0,A-1,0,NULL,FA 52 03 06 01,
2023/12/27 11:39:37:4539,,,,NULL,FA 52 01 04 01,
2023/12/27 11:39:37:7997,,,,NULL,FA 52 02 04 01,
2023/12/27 11:39:38:1208,,,,NULL,FA 52 03 04 01,
2023/12/27 11:39:39:2667,,,,NULL,FA 52 01 06 01,
2023/12/27 11:39:39:5917,,,,NULL,FA 52 02 06 01,
2023/12/27 11:39:39:9360,0,A-1,0,NULL,FA 52 03 06 01,
2023/12/27 11:39:40:8276,,,,NULL,FA 52 01 04 01,
2023/12/27 11:39:41:1487,,,,NULL,FA 52 02 04 01,
2023/12/27 11:39:41:5039,,,,NULL,FA 52 03 04 01,
2023/12/27 11:39:42:4735,,,,NULL,FA 52 01 06 01,
2023/12/27 11:39:42:7864,,,,NULL,FA 52 02 06 01,
2023/12/27 11:39:43:1075,0,A-1,0,NULL,FA 52 03 06 01,
2023/12/27 11:39:44:1646,,,,NULL,FA 52 01 04 01,
2023/12/27 11:39:44:4755,,,,NULL,FA 52 02 04 01,
2023/12/27 11:39:44:7909,,,,NULL,FA 52 03 04 01,
2023/12/27 11:39:45:7419,,,,NULL,FA 52 01 06 01,
2023/12/27 11:39:46:0561,,,,NULL,FA 52 02 06 01,
2023/12/27 11:39:46:3674,0,A-1,0,NULL,FA 52 03 06 01,
2023/12/27 11:39:47:5236,,,,NULL,FA 52 01 04 01,
2023/12/27 11:39:47:8455,,,,NULL,FA 52 02 04 01,
2023/12/27 11:39:48:1568,,,,NULL,FA 52 03 04 01,
2023/12/27 11:39:49:2246,,,,NULL,FA 52 01 06 01,
2023/12/27 11:39:49:5368,,,,NULL,FA 52 02 06 01,
2023/12/27 11:39:49:8579,0,A-1,0,NULL,FA 52 03 06 01,
2023/12/27 11:39:50:8934,,,,NULL,FA 52 01 04 01,
2023/12/27 11:39:51:2172,,,,NULL,FA 52 02 04 01,
2023/12/27 11:39:51:5398,,,,NULL,FA 52 03 04 01,
2023/12/27 11:39:52:5496,,,,NULL,FA 52 01 06 01,
2023/12/27 11:39:52:8710,,,,NULL,FA 52 02 06 01,
2023/12/27 11:39:53:1809,0,A-1,0,NULL,FA 52 03 06 01,
2023/12/27 11:39:54:2371,,,,NULL,FA 52 01 04 01,
2023/12/27 11:39:54:5474,,,,NULL,FA 52 02 04 01,
2023/12/27 11:39:54:8686,,,,NULL,FA 52 03 04 01,
2023/12/27 11:39:55:9300,,,,NULL,FA 52 01 06 01,
2023/12/27 11:39:56:2422,,,,NULL,FA 52 02 06 01,
2023/12/27 11:39:56:5781,0,A-1,0,NULL,FA 52 03 06 01,
2023/12/27 11:39:57:6181,,,,NULL,FA 52 01 04 01,
2023/12/27 11:39:57:9395,,,,NULL,FA 52 02 04 01,
2023/12/27 11:39:58:2545,,,,NULL,FA 52 03 04 01,
2023/12/27 11:39:59:2917,,,,NULL,FA 52 01 06 01,
2023/12/27 11:39:59:6139,,,,NULL,FA 52 02 06 01,
