*Time,*Loop,*Phase,*Blockloop,*PowerMode,*Send_CMD,*Receive_CMD
2023/12/29 11:51:31:7202,1,B-1,0,NULL,FA 52 03 06 01,
2023/12/29 11:51:33:5003,,,,NULL,FA 52 01 04 01,
2023/12/29 11:51:33:6578,,,,NULL,FA 52 02 04 01,
2023/12/29 11:51:33:7822,,,,NULL,FA 52 03 04 01,
2023/12/29 11:51:34:6143,,,,NULL,FA 52 01 06 01,
2023/12/29 11:51:34:7511,,,,NULL,FA 52 02 06 01,
2023/12/29 11:51:34:8746,1,B-1,0,NULL,FA 52 03 06 01,
2023/12/29 11:51:36:6644,,,,NULL,FA 52 01 04 01,
2023/12/29 11:51:36:8222,,,,NULL,FA 52 02 04 01,
2023/12/29 11:51:36:9361,,,,NULL,FA 52 03 04 01,
2023/12/29 11:51:37:8620,,,,NULL,FA 52 01 06 01,
2023/12/29 11:51:37:9868,,,,NULL,FA 52 02 06 01,
2023/12/29 11:51:38:1155,1,B-1,0,NULL,FA 52 03 06 01,
2023/12/29 11:51:39:9079,,,,NULL,FA 52 01 04 01,
2023/12/29 11:51:40:0868,,,,NULL,FA 52 02 04 01,
2023/12/29 11:51:40:2297,,,,NULL,FA 52 03 04 01,
2023/12/29 11:51:41:1912,,,,NULL,FA 52 01 06 01,
2023/12/29 11:51:41:3218,,,,NULL,FA 52 02 06 01,
2023/12/29 11:51:41:4740,1,B-1,0,NULL,FA 52 03 06 01,
2023/12/29 11:51:43:0784,,,,NULL,FA 52 01 04 01,
2023/12/29 11:51:43:2203,,,,NULL,FA 52 02 04 01,
2023/12/29 11:51:43:3547,,,,NULL,FA 52 03 04 01,
2023/12/29 11:51:44:2372,,,,NULL,FA 52 01 06 01,
2023/12/29 11:51:44:3724,,,,NULL,FA 52 02 06 01,
2023/12/29 11:51:44:5157,1,B-1,0,NULL,FA 52 03 06 01,
2023/12/29 11:51:46:2805,,,,NULL,FA 52 01 04 01,
2023/12/29 11:51:46:4114,,,,NULL,FA 52 02 04 01,
2023/12/29 11:51:46:5555,,,,NULL,FA 52 03 04 01,
2023/12/29 11:51:47:4884,,,,NULL,FA 52 01 06 01,
2023/12/29 11:51:47:6260,,,,NULL,FA 52 02 06 01,
2023/12/29 11:51:47:7417,1,B-1,0,NULL,FA 52 03 06 01,
2023/12/29 11:51:49:4230,,,,NULL,FA 52 01 04 01,
2023/12/29 11:51:49:5581,,,,NULL,FA 52 02 04 01,
2023/12/29 11:51:49:6987,,,,NULL,FA 52 03 04 01,
2023/12/29 11:51:50:7688,,,,NULL,FA 52 01 06 01,
2023/12/29 11:51:50:8949,,,,NULL,FA 52 02 06 01,
2023/12/29 11:51:51:0292,1,B-1,0,NULL,FA 52 03 06 01,
2023/12/29 11:51:52:6002,,,,NULL,FA 52 01 04 01,
2023/12/29 11:51:52:7349,,,,NULL,FA 52 02 04 01,
2023/12/29 11:51:52:8696,,,,NULL,FA 52 03 04 01,
2023/12/29 11:51:53:9447,,,,NULL,FA 52 01 06 01,
2023/12/29 11:51:54:0793,,,,NULL,FA 52 02 06 01,
2023/12/29 11:51:54:2023,1,B-1,0,NULL,FA 52 03 06 01,
2023/12/29 11:51:55:7740,,,,NULL,FA 52 01 04 01,
2023/12/29 11:51:55:9206,,,,NULL,FA 52 02 04 01,
2023/12/29 11:51:56:0430,,,,NULL,FA 52 03 04 01,
2023/12/29 11:51:57:0602,,,,NULL,FA 52 01 06 01,
2023/12/29 11:51:57:2373,,,,NULL,FA 52 02 06 01,
2023/12/29 11:51:57:3939,1,B-1,0,NULL,FA 52 03 06 01,
2023/12/29 11:51:59:0135,,,,NULL,FA 52 01 04 01,
2023/12/29 11:51:59:1431,,,,NULL,FA 52 02 04 01,
2023/12/29 11:51:59:2975,,,,NULL,FA 52 03 04 01,
2023/12/29 11:52:00:1534,,,,NULL,FA 52 01 06 01,
2023/12/29 11:52:00:2743,,,,NULL,FA 52 02 06 01,
2023/12/29 11:52:00:3992,1,B-1,0,NULL,FA 52 03 06 01,
2023/12/29 11:52:02:1872,,,,NULL,FA 52 01 04 01,
2023/12/29 11:52:02:3106,,,,NULL,FA 52 02 04 01,
2023/12/29 11:52:02:4444,,,,NULL,FA 52 03 04 01,
2023/12/29 11:52:03:2844,,,,NULL,FA 52 01 06 01,
2023/12/29 11:52:03:4112,,,,NULL,FA 52 02 06 01,
2023/12/29 11:52:03:5428,1,B-1,0,NULL,FA 52 03 06 01,
2023/12/29 11:52:05:3950,,,,NULL,FA 52 01 04 01,
2023/12/29 11:52:05:5414,,,,NULL,FA 52 02 04 01,
2023/12/29 11:52:05:6665,,,,NULL,FA 52 03 04 01,
2023/12/29 11:52:06:5268,,,,NULL,FA 52 01 06 01,
2023/12/29 11:52:06:6504,,,,NULL,FA 52 02 06 01,
2023/12/29 11:52:06:7984,1,B-1,0,NULL,FA 52 03 06 01,
2023/12/29 11:52:08:5364,,,,NULL,FA 52 01 04 01,
2023/12/29 11:52:08:6733,,,,NULL,FA 52 02 04 01,
2023/12/29 11:52:08:7907,,,,NULL,FA 52 03 04 01,
2023/12/29 11:52:09:7162,,,,NULL,FA 52 01 06 01,
2023/12/29 11:52:09:8290,,,,NULL,FA 52 02 06 01,
2023/12/29 11:52:09:9636,1,B-1,0,NULL,FA 52 03 06 01,
2023/12/29 11:52:11:7128,,,,NULL,FA 52 01 04 01,
2023/12/29 11:52:11:8380,,,,NULL,FA 52 02 04 01,
2023/12/29 11:52:11:9726,,,,NULL,FA 52 03 04 01,
2023/12/29 11:52:12:9151,,,,NULL,FA 52 01 06 01,
2023/12/29 11:52:13:0502,,,,NULL,FA 52 02 06 01,
2023/12/29 11:52:13:1863,1,B-1,0,NULL,FA 52 03 06 01,
2023/12/29 11:52:14:8919,,,,NULL,FA 52 01 04 01,
2023/12/29 11:52:15:0254,,,,NULL,FA 52 02 04 01,
2023/12/29 11:52:15:1588,,,,NULL,FA 52 03 04 01,
2023/12/29 11:52:16:0177,,,,NULL,FA 52 01 06 01,
2023/12/29 11:52:16:1387,,,,NULL,FA 52 02 06 01,
2023/12/29 11:52:16:2676,1,B-1,0,NULL,FA 52 03 06 01,
2023/12/29 11:52:18:0638,,,,NULL,FA 52 01 04 01,
2023/12/29 11:52:18:2042,,,,NULL,FA 52 02 04 01,
2023/12/29 11:52:18:3461,,,,NULL,FA 52 03 04 01,
2023/12/29 11:52:19:2490,,,,NULL,FA 52 01 06 01,
2023/12/29 11:52:19:4018,,,,NULL,FA 52 02 06 01,
2023/12/29 11:52:19:5502,1,B-1,0,NULL,FA 52 03 06 01,
2023/12/29 11:52:21:2739,,,,NULL,FA 52 01 04 01,
2023/12/29 11:52:21:4165,,,,NULL,FA 52 02 04 01,
2023/12/29 11:52:21:5589,,,,NULL,FA 52 03 04 01,
2023/12/29 11:52:22:5863,,,,NULL,FA 52 01 06 01,
2023/12/29 11:52:22:7172,,,,NULL,FA 52 02 06 01,
2023/12/29 11:52:22:8482,1,B-1,0,NULL,FA 52 03 06 01,
2023/12/29 11:52:24:4471,,,,NULL,FA 52 01 04 01,
2023/12/29 11:52:24:5986,,,,NULL,FA 52 02 04 01,
2023/12/29 11:52:24:7178,,,,NULL,FA 52 03 04 01,
2023/12/29 11:52:25:6996,,,,NULL,FA 52 01 06 01,
2023/12/29 11:52:25:8245,,,,NULL,FA 52 02 06 01,
2023/12/29 11:52:25:9683,1,B-1,0,NULL,FA 52 03 06 01,
2023/12/29 11:52:27:6187,,,,NULL,FA 52 01 04 01,
2023/12/29 11:52:27:7544,,,,NULL,FA 52 02 04 01,
2023/12/29 11:52:27:8802,,,,NULL,FA 52 03 04 01,
2023/12/29 11:52:28:9332,,,,NULL,FA 52 01 06 01,
2023/12/29 11:52:29:0821,,,,NULL,FA 52 02 06 01,
2023/12/29 11:52:29:2173,1,B-1,0,NULL,FA 52 03 06 01,
2023/12/29 11:52:30:8002,,,,NULL,FA 52 01 04 01,
2023/12/29 11:52:30:9310,,,,NULL,FA 52 02 04 01,
2023/12/29 11:52:31:0794,,,,NULL,FA 52 03 04 01,
2023/12/29 11:52:31:9821,,,,NULL,FA 52 01 06 01,
2023/12/29 11:52:32:1057,,,,NULL,FA 52 02 06 01,
2023/12/29 11:52:32:2294,1,B-1,0,NULL,FA 52 03 06 01,
2023/12/29 11:52:33:9556,,,,NULL,FA 52 01 04 01,
